model_path,episode,reward,avg_delay,total_energy,steps
episode_0_model.pth,0,-3.6242,69.718753,1367.28,15
episode_50_model.pth,50,-3.3959,65.830252,1405.37,15
episode_100_model.pth,100,-3.4309,66.768368,1386.22,15
episode_150_model.pth,150,-3.3378,65.408093,1392.93,15
episode_200_model.pth,200,-3.3362,64.394584,1431.62,15
episode_250_model.pth,250,-4.8538,87.283366,1293.87,15
episode_300_model.pth,300,-4.6664,88.572251,1150.69,15
episode_350_model.pth,350,-5.0469,94.109836,1123.99,15
episode_400_model.pth,400,-4.9613,92.755098,1134.24,15
episode_450_model.pth,450,-4.896,92.154874,1125.2,15
episode_500_model.pth,500,-4.8482,91.291777,1135.06,15
